LEA,Limited Edition Alpha,core,B
LEB,Limited Edition Beta,core,B
2ED,Unlimited Edition,core,B
CED,Collectors’ Edition,memorabilia,Z
CEI,Intl. Collectors’ Edition,memorabilia,Z
ARN,Arabian Nights,expansion,Y
ATQ,Antiquities,expansion,Y
FBB,Foreign Black Border,core,B
3ED,Revised Edition,core,B
LEG,Legends,expansion,
SUM,Summer Magic / Edgar,core,B
PDRC,Dragon Con,promo,Z
DRK,The Dark,expansion,Y
PHPR,HarperPrism Book Promos,promo,Z
FEM,Fallen Empires,expansion,Y
PMEI,Magazine Inserts,promo,Z
PLGM,DCI Legend Membership,promo,Z
4ED,Fourth Edition,core,
4BB,Fourth Edition Foreign Black Border,core,
ICE,Ice Age,expansion,
CHR,Chronicles,masters,Y
REN,Renaissance,masters,Y
RIN,Rinascimento,masters,Y
HML,Homelands,expansion,Y
PTC,Pro Tour Collector Set,memorabilia,Z
ALL,Alliances,expansion,Y
RQS,Rivals Quick Start Set,box,Z
PARL,Arena League 1996,promo,Z
PCEL,Celebration Cards,memorabilia,Z
PRED,Redemption Program,promo,Z
MIR,Mirage,expansion,
MGB,Multiverse Gift Box,box,Z
ITP,Introductory Two-Player Set,starter,Z
VIS,Visions,expansion,
5ED,Fifth Edition,core,
PAST,Astral Cards,box,Z
PMIC,MicroProse Promos,memorabilia,Z
POR,Portal,expansion,B.B
PPOD,Portal Demo Game,starter,Z
PVAN,Vanguard Series,vanguard,Z
WTH,Weatherlight,expansion,
WC97,World Championship Decks 1997,memorabilia,Z
TMP,Tempest,expansion,
PTMP,Tempest Promos,promo,Z
JGP,Judge Gift Cards 1998,promo,Z
STH,Stronghold,expansion,
PSTH,Stronghold Promos,promo,Z
EXO,Exodus,expansion,
PEXO,Exodus Promos,promo,Z
P02,Portal Second Age,expansion,
UGL,Unglued,funny,X
TUGL,Unglued Tokens,token,Z
WC98,World Championship Decks 1998,memorabilia,Z
PALP,Asia Pacific Land Program,promo,Z
USG,Urza's Saga,expansion,
PUSG,Urza's Saga Promos,promo,Z
ATH,Anthologies,box,Z
G99,Judge Gift Cards 1999,promo,Z
PAL99,Arena League 1999,promo,Z
ULG,Urza's Legacy,expansion,F
PULG,Urza's Legacy Promos,promo,Z
6ED,Classic Sixth Edition,core,F
UDS,Urza's Destiny,expansion,F
PUDS,Urza's Destiny Promos,promo,Z
S99,Starter 1999,starter,B.B
PPTK,Portal: Three Kingdoms Promos,promo,Z
PTK,Portal Three Kingdoms,starter,X
PGRU,Guru,promo,Z
PWOR,World Championship Promos,promo,Z
WC99,World Championship Decks 1999,memorabilia,Z
PWOS,Wizards of the Coast Online Store,promo,Z
MMQ,Mercadian Masques,expansion,F
PMMQ,Mercadian Masques Promos,promo,Z
BRB,Battle Royale Box Set,box,Z
PSUS,Junior Super Series,promo,Z
G00,Judge Gift Cards 2000,promo,Z
FNM,Friday Night Magic 2000,promo,Z
PAL00,Arena League 2000,promo,Z
PELP,European Land Program,promo,Z
NEM,Nemesis,expansion,F
PNEM,Nemesis Promos,promo,Z
S00,Starter 2000,starter,Z
PCY,Prophecy,expansion,F
PPCY,Prophecy Promos,promo,Z
WC00,World Championship Decks 2000,memorabilia,Z
BTD,Beatdown Box Set,box,Z
INV,Invasion,expansion,F
PINV,Invasion Promos,promo,Z
G01,Judge Gift Cards 2001,promo,Z
F01,Friday Night Magic 2001,promo,Z
MPR,Magic Player Rewards 2001,promo,Z
PAL01,Arena League 2001,promo,Z
PLS,Planeshift,expansion,F
PPLS,Planeshift Promos,promo,Z
7ED,Seventh Edition,core,B.F
APC,Apocalypse,expansion,F
PAPC,Apocalypse Promos,promo,Z
PSDG,Sega Dreamcast Cards,box,Z
WC01,World Championship Decks 2001,memorabilia,Z
ODY,Odyssey,expansion,F
PODY,Odyssey Promos,promo,Z
DKM,Deckmasters,box,Z
G02,Judge Gift Cards 2002,promo,Z
F02,Friday Night Magic 2002,promo,Z
PR2,Magic Player Rewards 2002,promo,Z
PAL02,Arena League 2002,promo,Z
TOR,Torment,expansion,F
PTOR,Torment Promos,promo,Z
JUD,Judgment,expansion,F
PJUD,Judgment Promos,promo,Z
PRM,Magic Online Promos,promo,Z
PHJ,Hobby Japan Promos,promo,Z
WC02,World Championship Decks 2002,memorabilia,Z
ONS,Onslaught,expansion,F
P03,Magic Player Rewards 2003,promo,Z
OVNT,Vintage Championship,memorabilia,Z
F03,Friday Night Magic 2003,promo,Z
G03,Judge Gift Cards 2003,promo,Z
PAL03,Arena League 2003,promo,Z
PJJT,Japan Junior Tournament,promo,Z
PMOA,Magic Online Avatars,vanguard,Z
LGN,Legions,expansion,F
PLGN,Legions Promos,promo,Z
PONS,Onslaught Promos,promo,Z
SCG,Scourge,expansion,F
PSCG,Scourge Promos,promo,Z
8ED,Eighth Edition,core,B.F
P8ED,Eighth Edition Promos,promo,Z
WC03,World Championship Decks 2003,memorabilia,Z
MRD,Mirrodin,expansion,F
P04,Magic Player Rewards 2004,promo,Z
G04,Judge Gift Cards 2004,promo,Z
F04,Friday Night Magic 2004,promo,Z
PAL04,Arena League 2004,promo,Z
DST,Darksteel,expansion,F
5DN,Fifth Dawn,expansion,F
PMRD,Mirrodin Promos,promo,Z
P5DN,Fifth Dawn Promos,promo,Z
PDST,Darksteel Promos,promo,Z
WC04,World Championship Decks 2004,memorabilia,Z
CHK,Champions of Kamigawa,expansion,F
PCHK,Champions of Kamigawa Promos,promo,Z
UNH,Unhinged,funny,B.F
PUNH,Unhinged Promos,promo,Z
F05,Friday Night Magic 2005,promo,Z
G05,Judge Gift Cards 2005,promo,Z
P05,Magic Player Rewards 2005,promo,Z
PJSE,Junior Series Europe,promo,Z
PAL05,Arena League 2005,promo,Z
PMPS,Magic Premiere Shop 2005,promo,Z
BOK,Betrayers of Kamigawa,expansion,F
PBOK,Betrayers of Kamigawa Promos,promo,Z
SOK,Saviors of Kamigawa,expansion,F
PSOK,Saviors of Kamigawa Promos,promo,Z
9ED,Ninth Edition,core,B.F
P9ED,Ninth Edition Promos,promo,Z
PSAL,Salvat 2005,box,Z
RAV,Ravnica: City of Guilds,expansion,F
PRAV,Ravnica: City of Guilds Promos,promo,Z
P2HG,Two-Headed Giant Tournament,promo,Z
F06,Friday Night Magic 2006,promo,Z
G06,Judge Gift Cards 2006,promo,Z
PGTW,Gateway 2006,promo,Z
PHUK,Hachette UK,box,Z
P06,Magic Player Rewards 2006,promo,Z
PJAS,Junior APAC Series,promo,Z
PMPS06,Magic Premiere Shop 2006,promo,Z
PAL06,Arena League 2006,promo,Z
GPT,Guildpact,expansion,F
PGPT,Guildpact Promos,promo,Z
PCMP,Champs and States,promo,Z
DIS,Dissension,expansion,F
PDIS,Dissension Promos,promo,Z
CSP,Coldsnap,expansion,F
CST,Coldsnap Theme Decks,box,Z
PCSP,Coldsnap Promos,promo,Z
TSB,Time Spiral Timeshifted,expansion,Z
TSP,Time Spiral,expansion,X
PTSP,Time Spiral Promos,promo,Z
HHO,Happy Holidays,funny,Z
F07,Friday Night Magic 2007,promo,Z
P07,Magic Player Rewards 2007,promo,Z
G07,Judge Gift Cards 2007,promo,Z
PMPS07,Magic Premiere Shop 2007,promo,Z
PG07,Gateway 2007,promo,Z
PRES,Resale Promos,promo,Z
PLC,Planar Chaos,expansion,X
PPLC,Planar Chaos Promos,promo,Z
PPRO,Pro Tour Promos,promo,Z
PGPX,Grand Prix Promos,promo,Z
FUT,Future Sight,expansion,F
PFUT,Future Sight Promos,promo,Z
T10E,Tenth Edition Tokens,token,Z
P10E,Tenth Edition Promos,promo,Z
10E,Tenth Edition,core,F
PSUM,Summer of Magic,promo,Z
ME1,Masters Edition,masters,Z
TLRW,Lorwyn Tokens,token,Z
LRW,Lorwyn,expansion,F
PLRW,Lorwyn Promos,promo,Z
TDD1,Duel Decks: Elves vs. Goblins Tokens,token,Z
DD1,Duel Decks: Elves vs. Goblins,duel_deck,Z
P08,Magic Player Rewards 2008,promo,Z
F08,Friday Night Magic 2008,promo,Z
G08,Judge Gift Cards 2008,promo,Z
PG08,Gateway 2008,promo,Z
PMPS08,Magic Premiere Shop 2008,promo,Z
TMOR,Morningtide Tokens,token,Z
MOR,Morningtide,expansion,F
PMOR,Morningtide Promos,promo,Z
P15A,15th Anniversary Cards,promo,Z
SHM,Shadowmoor,expansion,F
TSHM,Shadowmoor Tokens,token,Z
PSHM,Shadowmoor Promos,promo,Z
EVE,Eventide,expansion,F
TEVE,Eventide Tokens,token,Z
PEVE,Eventide Promos,promo,Z
DRB,From the Vault: Dragons,from_the_vault,Z
ME2,Masters Edition II,masters,Z
PWPN,Wizards Play Network 2008,promo,Z
TALA,Shards of Alara Tokens,token,Z
ALA,Shards of Alara,expansion,B.M.F
PALA,Shards of Alara Promos,promo,Z
DD2,Duel Decks: Jace vs. Chandra,duel_deck,Z
TDD2,Duel Decks: Jace vs. Chandra Tokens,token,Z
F09,Friday Night Magic 2009,promo,Z
G09,Judge Gift Cards 2009,promo,Z
P09,Magic Player Rewards 2009,promo,Z
PMPS09,Magic Premiere Shop 2009,promo,Z
PDTP,Duels of the Planeswalkers 2009 Promos ,promo,Z
PWP09,Wizards Play Network 2009,promo,Z
PBOOK,Miscellaneous Book Promos,promo,Z
CON,Conflux,expansion,B.M.F
TCON,Conflux Tokens,token,Z
PCON,Conflux Promos,promo,Z
PURL,URL/Convention Promos,promo,Z
TDDC,Duel Decks: Divine vs. Demonic Tokens,token,Z
DDC,Duel Decks: Divine vs. Demonic,duel_deck,Z
ARB,Alara Reborn,expansion,B.M.F
TARB,Alara Reborn Tokens,token,Z
PARB,Alara Reborn Promos,promo,Z
PM10,Magic 2010 Promos,promo,Z
TM10,Magic 2010 Tokens,token,Z
M10,Magic 2010,core,B.M.F
V09,From the Vault: Exiled,from_the_vault,Z
PHOP,Promotional Planes,promo,Z
HOP,Planechase,planechase,Z
OHOP,Planechase Planes,planechase,Z
ME3,Masters Edition III,masters,Z
ZEN,Zendikar,expansion,X
TZEN,Zendikar Tokens,token,Z
PZEN,Zendikar Promos,promo,Z
DDD,Duel Decks: Garruk vs. Liliana,duel_deck,Z
TDDD,Duel Decks: Garruk vs. Liliana Tokens,token,Z
H09,Premium Deck Series: Slivers,premium_deck,Z
G10,Judge Gift Cards 2010,promo,Z
